spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
spatiotemporal_inconsistent,same,4,4,3,3,2,3,50,-50,0,Chrome,9460980,Wed Dec 06 2023 10:00:52 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 10:00:56 GMT-0500 (Eastern Standard Time),220
spatiotemporal_inconsistent,same_swap,2,1,1,2,3,2,-50,50,1,Chrome,9460980,Wed Dec 06 2023 10:00:58 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 10:01:03 GMT-0500 (Eastern Standard Time),1316
spatiotemporal_inconsistent,same_swap,0,2,2,0,1,0,-50,50,1,Chrome,9460980,Wed Dec 06 2023 10:01:05 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 10:01:11 GMT-0500 (Eastern Standard Time),2284
spatiotemporal_inconsistent,same,0,0,4,4,1,3,50,-50,0,Chrome,9460980,Wed Dec 06 2023 10:01:12 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 10:01:19 GMT-0500 (Eastern Standard Time),2748
spatiotemporal_inconsistent,same_swap,0,3,3,0,3,0,-50,50,0,Chrome,9460980,Wed Dec 06 2023 10:01:20 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 10:01:26 GMT-0500 (Eastern Standard Time),2388
spatiotemporal_inconsistent,same,3,3,2,2,2,4,-50,50,1,Chrome,9460980,Wed Dec 06 2023 10:01:27 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 10:01:32 GMT-0500 (Eastern Standard Time),1715
spatiotemporal_inconsistent,same_swap,3,2,2,3,2,1,50,-50,1,Chrome,9460980,Wed Dec 06 2023 10:01:32 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 10:01:38 GMT-0500 (Eastern Standard Time),1943
spatiotemporal_inconsistent,same,0,0,1,1,1,0,-50,50,1,Chrome,9460980,Wed Dec 06 2023 10:01:39 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 10:01:44 GMT-0500 (Eastern Standard Time),1523
spatiotemporal_inconsistent,same_swap,1,3,3,1,0,2,-50,50,1,Chrome,9460980,Wed Dec 06 2023 10:01:45 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 10:01:50 GMT-0500 (Eastern Standard Time),2131
spatiotemporal_inconsistent,new,3,0,2,2,3,0,50,-50,1,Chrome,9460980,Wed Dec 06 2023 10:01:51 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 10:01:56 GMT-0500 (Eastern Standard Time),1675
spatiotemporal_inconsistent,new,1,1,4,3,1,4,50,-50,0,Chrome,9460980,Wed Dec 06 2023 10:01:58 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 10:02:04 GMT-0500 (Eastern Standard Time),2088
spatiotemporal_inconsistent,same_swap,4,0,0,4,0,1,-50,50,1,Chrome,9460980,Wed Dec 06 2023 10:02:04 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 10:02:10 GMT-0500 (Eastern Standard Time),1749
