spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
spatiotemporal_inconsistent,new,2,0,4,4,3,4,50,-50,0,Chrome,807317,Wed Dec 06 2023 09:02:53 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:03:01 GMT-0500 (Eastern Standard Time),4009
spatiotemporal_inconsistent,same,0,0,3,3,2,4,-50,50,1,Chrome,807317,Wed Dec 06 2023 09:03:02 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:03:07 GMT-0500 (Eastern Standard Time),1665
spatiotemporal_inconsistent,same_swap,3,4,4,3,2,0,-50,50,1,Chrome,807317,Wed Dec 06 2023 09:03:08 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:03:15 GMT-0500 (Eastern Standard Time),3762
spatiotemporal_inconsistent,same_swap,3,0,0,3,4,3,-50,50,1,Chrome,807317,Wed Dec 06 2023 09:03:16 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:03:21 GMT-0500 (Eastern Standard Time),1426
spatiotemporal_inconsistent,new,3,4,1,1,0,2,50,-50,1,Chrome,807317,Wed Dec 06 2023 09:03:21 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:03:26 GMT-0500 (Eastern Standard Time),1290
spatiotemporal_inconsistent,new,1,1,4,3,1,2,50,-50,0,Chrome,807317,Wed Dec 06 2023 09:03:28 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:03:33 GMT-0500 (Eastern Standard Time),1489
spatiotemporal_inconsistent,same,4,4,3,3,1,3,-50,50,1,Chrome,807317,Wed Dec 06 2023 09:03:34 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:03:40 GMT-0500 (Eastern Standard Time),1801
spatiotemporal_inconsistent,same_swap,2,3,3,2,3,0,50,-50,1,Chrome,807317,Wed Dec 06 2023 09:03:40 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:03:45 GMT-0500 (Eastern Standard Time),1505
spatiotemporal_inconsistent,new,4,4,2,1,2,3,50,-50,0,Chrome,807317,Wed Dec 06 2023 09:03:46 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:03:51 GMT-0500 (Eastern Standard Time),1569
spatiotemporal_inconsistent,same_swap,1,2,2,1,2,0,50,-50,1,Chrome,807317,Wed Dec 06 2023 09:03:52 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:03:57 GMT-0500 (Eastern Standard Time),2050
