spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
spatiotemporal_inconsistent,new,1,2,4,4,3,4,50,-50,0,Chrome,258614,Wed Dec 06 2023 09:07:32 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:07:39 GMT-0500 (Eastern Standard Time),3224
spatiotemporal_inconsistent,same,1,1,4,4,2,3,50,-50,1,Chrome,258614,Wed Dec 06 2023 09:07:47 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:07:52 GMT-0500 (Eastern Standard Time),1979
spatiotemporal_inconsistent,same,0,0,3,3,0,1,50,-50,1,Chrome,258614,Wed Dec 06 2023 09:07:54 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:08:01 GMT-0500 (Eastern Standard Time),3087
spatiotemporal_inconsistent,same_swap,4,3,3,4,1,4,-50,50,0,Chrome,258614,Wed Dec 06 2023 09:08:04 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:08:10 GMT-0500 (Eastern Standard Time),1832
spatiotemporal_inconsistent,same_swap,3,4,4,3,3,2,-50,50,1,Chrome,258614,Wed Dec 06 2023 09:08:20 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:08:26 GMT-0500 (Eastern Standard Time),2754
spatiotemporal_inconsistent,same,1,1,0,0,2,0,-50,50,1,Chrome,258614,Wed Dec 06 2023 09:08:30 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:08:35 GMT-0500 (Eastern Standard Time),1944
spatiotemporal_inconsistent,same_swap,4,0,0,4,4,2,-50,50,1,Chrome,258614,Wed Dec 06 2023 09:08:37 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:08:43 GMT-0500 (Eastern Standard Time),2016
spatiotemporal_inconsistent,same,4,4,2,2,3,2,50,-50,1,Chrome,258614,Wed Dec 06 2023 09:09:11 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:09:17 GMT-0500 (Eastern Standard Time),1991
spatiotemporal_inconsistent,same_swap,3,0,0,3,3,1,50,-50,1,Chrome,258614,Wed Dec 06 2023 09:09:19 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:09:24 GMT-0500 (Eastern Standard Time),1912
spatiotemporal_inconsistent,same_swap,0,1,1,0,4,0,50,-50,1,Chrome,258614,Wed Dec 06 2023 09:09:26 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:09:32 GMT-0500 (Eastern Standard Time),1928
spatiotemporal_inconsistent,new,4,1,0,0,1,4,-50,50,0,Chrome,258614,Wed Dec 06 2023 09:09:33 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:09:39 GMT-0500 (Eastern Standard Time),2176
spatiotemporal_inconsistent,new,4,2,0,0,4,2,-50,50,0,Chrome,258614,Wed Dec 06 2023 09:09:41 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:09:46 GMT-0500 (Eastern Standard Time),1384
spatiotemporal_inconsistent,new,2,2,3,4,2,1,50,-50,0,Chrome,258614,Wed Dec 06 2023 09:09:48 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:09:54 GMT-0500 (Eastern Standard Time),2136
spatiotemporal_inconsistent,new,3,2,0,0,0,4,-50,50,0,Chrome,258614,Wed Dec 06 2023 09:09:56 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:10:01 GMT-0500 (Eastern Standard Time),1392
spatiotemporal_inconsistent,new,0,3,1,1,0,1,-50,50,0,Chrome,258614,Wed Dec 06 2023 09:10:02 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:10:08 GMT-0500 (Eastern Standard Time),1520
spatiotemporal_inconsistent,same,1,1,0,0,1,2,50,-50,1,Chrome,258614,Wed Dec 06 2023 09:10:09 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:10:14 GMT-0500 (Eastern Standard Time),1400
spatiotemporal_inconsistent,same,0,0,3,3,0,1,-50,50,1,Chrome,258614,Wed Dec 06 2023 09:10:16 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:10:22 GMT-0500 (Eastern Standard Time),2304
spatiotemporal_inconsistent,same,2,2,3,3,2,3,50,-50,1,Chrome,258614,Wed Dec 06 2023 09:10:24 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:10:30 GMT-0500 (Eastern Standard Time),2007
spatiotemporal_inconsistent,same_swap,1,3,3,1,2,3,-50,50,0,Chrome,258614,Wed Dec 06 2023 09:11:07 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:11:13 GMT-0500 (Eastern Standard Time),1620
spatiotemporal_inconsistent,new,3,3,2,1,0,1,-50,50,0,Chrome,258614,Wed Dec 06 2023 09:11:16 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:11:21 GMT-0500 (Eastern Standard Time),1376
spatiotemporal_inconsistent,same_swap,2,0,0,2,2,3,-50,50,1,Chrome,258614,Wed Dec 06 2023 09:11:23 GMT-0500 (Eastern Standard Time),Wed Dec 06 2023 09:11:29 GMT-0500 (Eastern Standard Time),1523
