spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_color_change_rate,ball_B_color_change_rate,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
spatiotemporal_inconsistent,same_swap,1,2,2,1,0,3,0,15,50,-50,0,Chrome,8236198,Wed Nov 15 2023 14:13:52 GMT-0500 (Eastern Standard Time),Wed Nov 15 2023 14:13:58 GMT-0500 (Eastern Standard Time),2031
spatiotemporal_inconsistent,same_swap,1,3,3,1,0,2,15,0,-50,50,1,Chrome,8236198,Wed Nov 15 2023 14:13:59 GMT-0500 (Eastern Standard Time),Wed Nov 15 2023 14:14:05 GMT-0500 (Eastern Standard Time),1952
spatiotemporal_inconsistent,same_swap,1,2,2,1,3,2,0,15,50,-50,1,Chrome,8236198,Wed Nov 15 2023 14:14:05 GMT-0500 (Eastern Standard Time),Wed Nov 15 2023 14:14:11 GMT-0500 (Eastern Standard Time),1864
spatiotemporal_inconsistent,new,1,4,2,2,3,4,0,15,50,-50,1,Chrome,8236198,Wed Nov 15 2023 14:14:12 GMT-0500 (Eastern Standard Time),Wed Nov 15 2023 14:14:17 GMT-0500 (Eastern Standard Time),1271
spatiotemporal_inconsistent,same,1,1,0,0,1,0,15,0,-50,50,1,Chrome,8236198,Wed Nov 15 2023 14:14:18 GMT-0500 (Eastern Standard Time),Wed Nov 15 2023 14:14:23 GMT-0500 (Eastern Standard Time),1304
spatiotemporal_inconsistent,same_swap,1,2,2,1,3,0,0,15,-50,50,0,Chrome,8236198,Wed Nov 15 2023 14:14:23 GMT-0500 (Eastern Standard Time),Wed Nov 15 2023 14:14:29 GMT-0500 (Eastern Standard Time),1687
spatiotemporal_inconsistent,same,4,4,1,1,3,2,0,15,50,-50,1,Chrome,8236198,Wed Nov 15 2023 14:14:29 GMT-0500 (Eastern Standard Time),Wed Nov 15 2023 14:14:35 GMT-0500 (Eastern Standard Time),1455
spatiotemporal_inconsistent,same_swap,1,2,2,1,2,4,15,0,50,-50,0,Chrome,8236198,Wed Nov 15 2023 14:14:36 GMT-0500 (Eastern Standard Time),Wed Nov 15 2023 14:14:41 GMT-0500 (Eastern Standard Time),1792
spatiotemporal_inconsistent,new,2,2,1,0,1,0,0,15,50,-50,1,Chrome,8236198,Wed Nov 15 2023 14:14:42 GMT-0500 (Eastern Standard Time),Wed Nov 15 2023 14:14:47 GMT-0500 (Eastern Standard Time),1503
spatiotemporal_inconsistent,same_swap,0,1,1,0,3,4,15,0,50,-50,0,Chrome,8236198,Wed Nov 15 2023 14:14:48 GMT-0500 (Eastern Standard Time),Wed Nov 15 2023 14:14:53 GMT-0500 (Eastern Standard Time),1559
