spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_color_change_rate,ball_B_color_change_rate,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
spatiotemporal_inconsistent,new,4,4,0,1,0,2,5,0,-50,50,0,Chrome,5818466,Mon Jul 07 2025 17:39:39 GMT-0400 (Eastern Daylight Time),Mon Jul 07 2025 17:39:45 GMT-0400 (Eastern Daylight Time),2008
spatiotemporal_inconsistent,new,4,4,3,0,0,4,5,0,50,-50,0,Chrome,5818466,Mon Jul 07 2025 17:39:46 GMT-0400 (Eastern Daylight Time),Mon Jul 07 2025 17:39:52 GMT-0400 (Eastern Daylight Time),2320
spatiotemporal_inconsistent,same_swap,4,2,2,4,1,0,0,5,-50,50,1,Chrome,5818466,Mon Jul 07 2025 17:39:53 GMT-0400 (Eastern Daylight Time),Mon Jul 07 2025 17:40:00 GMT-0400 (Eastern Daylight Time),3080
spatiotemporal_inconsistent,new,4,0,3,3,1,2,0,5,-50,50,0,Chrome,5818466,Mon Jul 07 2025 17:40:00 GMT-0400 (Eastern Daylight Time),Mon Jul 07 2025 17:40:06 GMT-0400 (Eastern Daylight Time),2048
spatiotemporal_inconsistent,new,4,4,1,0,2,1,5,0,-50,50,0,Chrome,5818466,Mon Jul 07 2025 17:40:07 GMT-0400 (Eastern Daylight Time),Mon Jul 07 2025 17:40:12 GMT-0400 (Eastern Daylight Time),1656
spatiotemporal_inconsistent,same_swap,0,4,4,0,4,3,0,5,50,-50,1,Chrome,5818466,Mon Jul 07 2025 17:40:13 GMT-0400 (Eastern Daylight Time),Mon Jul 07 2025 17:40:19 GMT-0400 (Eastern Daylight Time),2064
spatiotemporal_inconsistent,same_swap,1,4,4,1,4,2,0,5,-50,50,1,Chrome,5818466,Mon Jul 07 2025 17:40:19 GMT-0400 (Eastern Daylight Time),Mon Jul 07 2025 17:40:25 GMT-0400 (Eastern Daylight Time),1576
spatiotemporal_inconsistent,new,2,2,1,3,4,1,0,5,-50,50,0,Chrome,5818466,Mon Jul 07 2025 17:40:25 GMT-0400 (Eastern Daylight Time),Mon Jul 07 2025 17:40:31 GMT-0400 (Eastern Daylight Time),2063
spatiotemporal_inconsistent,new,2,2,4,0,0,1,5,0,-50,50,1,Chrome,5818466,Mon Jul 07 2025 17:40:32 GMT-0400 (Eastern Daylight Time),Mon Jul 07 2025 17:40:38 GMT-0400 (Eastern Daylight Time),2297
spatiotemporal_inconsistent,same,1,1,0,0,3,0,5,0,-50,50,1,Chrome,5818466,Mon Jul 07 2025 17:40:39 GMT-0400 (Eastern Daylight Time),Mon Jul 07 2025 17:40:45 GMT-0400 (Eastern Daylight Time),1800
